,PAT001-S10,PAT001-S8,PAT001-S7,PAT001-S11,PAT001-S5,PAT001-S12,PAT001-S3,PAT001-T1,PAT001-S9,PAT001-S6,PAT001-S2,PAT001-S4
PAT001-S10,0.0,36.916666666666664,44.08333333333333,37.265625,44.453125,61.29866071428572,98.29866071428572,98.29866071428572,60.04866071428572,53.245089285714286,45.009375,41.453125
PAT001-S8,36.916666666666664,0.0,35.0,32.276041666666664,39.463541666666664,56.30907738095238,93.30907738095237,93.30907738095237,55.05907738095238,48.25550595238095,40.01979166666666,36.463541666666664
PAT001-S7,44.08333333333333,35.0,0.0,39.44270833333333,46.63020833333333,63.475744047619045,100.47574404761903,100.47574404761903,62.225744047619045,55.42217261904762,47.186458333333334,43.63020833333333
PAT001-S11,37.265625,32.276041666666664,39.44270833333333,0.0,35.0,53.47053571428572,90.47053571428572,90.47053571428572,52.22053571428572,45.416964285714286,37.18125,35.59375
PAT001-S5,44.453125,39.463541666666664,46.63020833333333,35.0,0.0,60.65803571428572,97.65803571428572,97.65803571428572,59.40803571428572,52.604464285714286,44.36875,42.78125
PAT001-S12,61.29866071428572,56.30907738095238,63.475744047619045,53.47053571428572,60.65803571428572,0.0,73.0,73.0,46.0,57.625,57.339285714285715,59.62678571428572
PAT001-S3,98.29866071428572,93.30907738095239,100.47574404761905,90.47053571428572,97.65803571428572,73.0,0.0,0.0,83.0,94.625,94.33928571428572,96.62678571428572
PAT001-T1,98.29866071428572,93.30907738095239,100.47574404761905,90.47053571428572,97.65803571428572,73.0,0.0,0.0,83.0,94.625,94.33928571428572,96.62678571428572
PAT001-S9,60.04866071428572,55.05907738095238,62.225744047619045,52.22053571428572,59.40803571428572,46.0,83.0,83.0,0.0,56.375,56.089285714285715,58.37678571428572
PAT001-S6,53.245089285714286,48.25550595238095,55.422172619047615,45.416964285714286,52.604464285714286,57.625,94.625,94.625,56.375,0.0,49.285714285714285,51.573214285714286
PAT001-S2,45.009375,40.01979166666666,47.186458333333334,37.18125,44.36875,57.339285714285715,94.33928571428572,94.33928571428572,56.089285714285715,49.285714285714285,0.0,43.3375
PAT001-S4,41.453125,36.463541666666664,43.63020833333333,35.59375,42.78125,59.62678571428572,96.62678571428572,96.62678571428572,58.37678571428572,51.573214285714286,43.3375,0.0
